# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# MODEL IS: sp_t1200g3160nc_m0.0
# VSINI IS: 22.000000
# RV IS: 10.500000
# DATA divided by quadratic (ax^2 + bx + c) -- a: -357.17147
# DATA divided by quadratic (ax^2 + bx + c) -- b: 1280.2255
# DATA divided by quadratic (ax^2 + bx + c) -- c: -1146.2311
# reduced chi square is:        19.652490
#
# wavelength (um),    data flux,      uncertainty,     model flux
       1.7827239       1.5709951     0.038259008       1.6489567
       1.7827365       1.5586650     0.037903692       1.6300098
       1.7827491       1.5039318     0.037529540       1.6036569
       1.7827617       1.4657817     0.037368696       1.5690643
       1.7827743       1.4493492     0.037204555       1.5269999
       1.7827868       1.4477736     0.036960735       1.4757070
       1.7827994       1.3352460     0.036693799       1.4105307
       1.7828120       1.2860856     0.036116777       1.3308238
       1.7828246       1.1797946     0.036368129       1.2430016
       1.7828372       1.1052296     0.035804949       1.1536612
       1.7828498       1.1728126     0.035520663       1.0662704
       1.7828623       1.0402164     0.035504901      0.98145015
       1.7828749      0.93845804     0.036110993      0.90574280
       1.7828875      0.93775061     0.036169899      0.84310316
       1.7829000      0.95103976     0.037892654      0.79761860
       1.7829126      0.97394371     0.042111968      0.77015099
       1.7829252      0.94004067     0.046599490      0.76030597
       1.7829378      0.97533429     0.051683393      0.76573397
       1.7829503       1.0079108     0.054347444      0.78497567
       1.7829629      0.95772147     0.055003187      0.81410324
       1.7829754       1.0708087     0.052826716      0.84970324
       1.7829880       1.1927829     0.048875143      0.88809209
       1.7830006       1.2542243     0.044696459      0.92426490
       1.7830131       1.3454181     0.040725672      0.95602299
       1.7830257       1.3741465     0.037265225      0.98560401
       1.7830382       1.4157595     0.035701451       1.0166213
       1.7830508       1.3434670     0.035498836       1.0490561
       1.7830633       1.2708719     0.035185273       1.0772492
       1.7830759       1.3404767     0.035803849       1.0955314
       1.7830884       1.3047820     0.037240197       1.0973968
       1.7831010       1.3797611     0.040668486       1.0822135
       1.7831135       1.2275081     0.042945323       1.0514156
       1.7831261       1.2399031     0.044788189       1.0070596
       1.7831386       1.0788439     0.044245222      0.95073046
       1.7831511       1.0858723     0.042593983      0.88827039
       1.7831637       1.1060012     0.040142416      0.82336642
       1.7831762      0.93958295     0.037898272      0.75990750
       1.7831888      0.72822877     0.035439818      0.70217177
       1.7832013      0.71825057     0.034500669      0.65372117
       1.7832138      0.69559569     0.034235164      0.61900606
       1.7832263      0.63818230     0.033901259      0.59961469
       1.7832389      0.67193792     0.034307092      0.59763887
       1.7832514      0.58137042     0.035547949      0.61330546
       1.7832639      0.62203725     0.036226859      0.64659735
       1.7832764      0.60168920     0.037653806      0.69541332
       1.7832890      0.64268326     0.039854904      0.75706124
       1.7833015      0.78332858     0.041378031      0.83052198
       1.7833140      0.89957887     0.041900946      0.91754395
       1.7833265      0.97033569     0.040479515       1.0184543
       1.7833390       1.0374281     0.038490089       1.1288453
       1.7833515       1.1080753     0.037412968       1.2443771
       1.7833641       1.1900423     0.036488911       1.3583936
       1.7833766       1.2998398     0.035944513       1.4670805
       1.7833891       1.3214874     0.035448056       1.5688450
       1.7834016       1.3376985     0.035315389       1.6626776
       1.7834141       1.5843184     0.035383901       1.7492336
       1.7834266       1.6707622     0.035599742       1.8303032
       1.7834391       1.7026283     0.035621448       1.9061774
       1.7834516       1.8163794     0.036026616       1.9744350
       1.7834641       1.9125771     0.037101137       2.0319751
       1.7834766       1.8684405     0.039394269       2.0790035
       1.7834891       1.9085398     0.042713118       2.1180898
       1.7835016       2.0905789     0.045457714       2.1495814
       1.7835141       2.0565172     0.046036445       2.1733991
       1.7835266       2.1898273     0.045069539       2.1894242
       1.7835390       2.1985517     0.043126139       2.1984006
       1.7835515       2.1281842     0.040458623       2.2015265
       1.7835640       2.1452072     0.038029330       2.1979603
       1.7835765       2.1359218     0.036919660       2.1858535
       1.7835890       2.0505028     0.036310758       2.1640516
       1.7836015       2.0964464     0.035646471       2.1342653
       1.7836139       2.0953427     0.035344377       2.0975391
       1.7836264       1.9816815     0.034713099       2.0522749
       1.7836389       1.9703431     0.034395348       1.9947174
       1.7836514       1.7661305     0.034083509       1.9203879
       1.7836638       1.7005179     0.034154402       1.8286054
       1.7836763       1.6196858     0.033666624       1.7245130
       1.7836888       1.4211172     0.033092107       1.6137465
       1.7837013       1.3355246     0.033415028       1.5028310
       1.7837137       1.2600197     0.033182526       1.4003768
       1.7837262       1.1837230     0.032841955       1.3100792
