# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       scale
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2002.5738       927.00000       2.1602737       80.000000         42.000000       0.99113900
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2000.5091       927.00000       2.1580465       80.000000         43.000000       0.99106535
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2000.3105       927.00000       2.1578323       80.000000         44.000000       0.99099079
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2002.0937       927.00000       2.1597558       80.000000         45.000000       0.99091901
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2013.5390       927.00000       2.1721025       81.000000         40.000000       0.99134979
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2007.5378       927.00000       2.1656286       81.000000         41.000000       0.99128287
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2003.4388       927.00000       2.1612069       81.000000         42.000000       0.99121293
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2001.2118       927.00000       2.1588045       81.000000         43.000000       0.99114281
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2000.9157       927.00000       2.1584852       81.000000         44.000000       0.99107269
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2002.5558       927.00000       2.1602543       81.000000         45.000000       0.99100223
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2016.4522       927.00000       2.1752451       82.000000         40.000000       0.99141541
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2010.3220       927.00000       2.1686322       82.000000         41.000000       0.99134773
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2006.0669       927.00000       2.1640420       82.000000         42.000000       0.99127932
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2003.7168       927.00000       2.1615068       82.000000         43.000000       0.99121316
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2003.3236       927.00000       2.1610826       82.000000         44.000000       0.99114719
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2004.8598       927.00000       2.1627398       82.000000         45.000000       0.99107848
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2021.4119       927.00000       2.1805954       83.000000         40.000000       0.99149442
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2015.3444       927.00000       2.1740500       83.000000         41.000000       0.99142485
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2011.0574       927.00000       2.1694255       83.000000         42.000000       0.99135734
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2008.6363       927.00000       2.1668137       83.000000         43.000000       0.99129336
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2008.1169       927.00000       2.1662534       83.000000         44.000000       0.99122846
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2009.4818       927.00000       2.1677258       83.000000         45.000000       0.99116238
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2027.9770       927.00000       2.1876774       84.000000         40.000000       0.99156874
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2022.1002       927.00000       2.1813379       84.000000         41.000000       0.99150074
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2017.8849       927.00000       2.1767907       84.000000         42.000000       0.99143305
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2015.4610       927.00000       2.1741759       84.000000         43.000000       0.99136648
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2014.8204       927.00000       2.1734848       84.000000         44.000000       0.99129868
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2015.9993       927.00000       2.1747565       84.000000         45.000000       0.99123157
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2035.0489       927.00000       2.1953062       85.000000         40.000000       0.99162196
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2029.1954       927.00000       2.1889919       85.000000         41.000000       0.99155356
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2024.9471       927.00000       2.1844089       85.000000         42.000000       0.99148647
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2022.4261       927.00000       2.1816895       85.000000         43.000000       0.99142092
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2021.6891       927.00000       2.1808944       85.000000         44.000000       0.99135360
lte017-5.5-0.0a+0.0.BT-Settl.spec.7   1700    5.5    0           2022.7332       927.00000       2.1820207       85.000000         45.000000       0.99128779
